
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 04:50:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,4;31,8;36,0;800,0;2020-08-17 02:49:31;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 04:55:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,4;31,8;36,2;800,0;2020-08-17 02:54:32;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:00:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,3;31,7;36,3;800,0;2020-08-17 02:59:32;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:05:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,1;31,6;36,4;800,0;2020-08-17 03:04:32;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:10:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;23,3;32,2;35,7;800,0;2020-08-17 03:09:32;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:15:00;measure;2,8;2,8;2,8;2,7;1,1;1,2;1,1;1,1;0,8;23,2;32,0;36,1;800,0;2020-08-17 03:14:32;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:20:00;measure;2,7;2,7;2,7;2,4;1,1;1,2;1,1;1,1;0,8;23,3;31,8;36,2;800,0;2020-08-17 03:19:33;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:25:00;measure;3,2;3,2;3,2;2,7;1,1;1,2;1,1;1,1;0,8;23,4;31,8;36,6;800,0;2020-08-17 03:24:33;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:30:00;measure;3,0;3,0;2,9;2,5;1,1;1,2;1,1;1,1;0,8;23,4;31,7;36,9;800,0;2020-08-17 03:29:33;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:35:00;measure;3,0;3,0;2,9;2,6;1,1;1,2;1,1;1,1;0,8;23,3;31,6;36,8;800,0;2020-08-17 03:34:33;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:40:00;measure;2,3;2,3;2,3;2,3;1,1;1,2;1,1;1,1;0,8;23,2;31,5;36,9;800,0;2020-08-17 03:39:33;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:45:00;measure;2,3;2,3;2,3;2,1;1,1;1,2;1,1;1,1;0,8;23,2;31,5;37,1;800,0;2020-08-17 03:44:34;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:50:00;measure;2,2;2,2;2,2;1,9;1,1;1,2;1,1;1,1;0,8;23,5;31,4;37,4;800,0;2020-08-17 03:49:34;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 05:55:00;measure;2,0;2,0;2,0;1,8;1,1;1,2;1,1;1,1;0,8;23,2;31,4;37,2;800,0;2020-08-17 03:54:34;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:00:00;measure;1,8;1,8;1,8;1,5;1,1;1,2;1,1;1,1;0,8;23,3;31,3;37,5;800,0;2020-08-17 03:59:34;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:05:00;measure;1,8;1,8;1,8;1,6;1,1;1,2;1,1;1,1;0,8;23,2;31,3;37,3;800,0;2020-08-17 04:04:34;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:10:00;measure;2,0;2,0;2,0;1,7;1,1;1,2;1,1;1,1;0,8;23,2;31,3;37,4;800,0;2020-08-17 04:09:35;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:15:00;measure;1,7;1,7;1,7;1,7;1,1;1,2;1,1;1,1;0,8;23,3;31,3;37,4;800,0;2020-08-17 04:14:35;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:20:00;measure;1,3;1,3;1,3;1,3;1,1;1,2;1,1;1,1;0,8;23,1;31,3;37,4;800,0;2020-08-17 04:19:35;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:25:00;measure;1,1;1,1;1,1;1,1;1,1;1,2;1,1;1,1;0,8;23,1;31,3;37,4;800,0;2020-08-17 04:24:35;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
